2022-02-28 11:50:17 - PHP Warning:  DOMDocument::loadXML(): Opening and ending tag mismatch: meta line 1 and head in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:50:17 - PHP Warning:  DOMDocument::loadXML(): Opening and ending tag mismatch: br line 1 and script in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:50:17 - PHP Warning:  DOMDocument::loadXML(): Opening and ending tag mismatch: br line 1 and body in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:50:17 - PHP Warning:  DOMDocument::loadXML(): Opening and ending tag mismatch: script line 1 and html in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:50:17 - PHP Warning:  DOMDocument::loadXML(): EndTag: '&lt;/' not found in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:51:21 - PHP Warning:  DOMDocument::loadXML(): xmlParseEntityRef: no name in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:51:21 - PHP Warning:  DOMDocument::loadXML(): xmlParseEntityRef: no name in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:51:21 - PHP Warning:  DOMDocument::loadXML(): xmlParseEntityRef: no name in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:51:21 - PHP Warning:  DOMDocument::loadXML(): xmlParseEntityRef: no name in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:51:21 - PHP Warning:  DOMDocument::loadXML(): Opening and ending tag mismatch: meta line 1 and head in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:51:21 - PHP Warning:  DOMDocument::loadXML(): Opening and ending tag mismatch: br line 1 and script in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:51:21 - PHP Warning:  DOMDocument::loadXML(): Opening and ending tag mismatch: br line 1 and body in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:51:21 - PHP Warning:  DOMDocument::loadXML(): Opening and ending tag mismatch: script line 1 and html in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:51:21 - PHP Warning:  DOMDocument::loadXML(): EndTag: '&lt;/' not found in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:52:10 - PHP Warning:  DOMDocument::loadXML(): xmlParseEntityRef: no name in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:52:10 - PHP Warning:  DOMDocument::loadXML(): xmlParseEntityRef: no name in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:52:10 - PHP Warning:  DOMDocument::loadXML(): xmlParseEntityRef: no name in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:52:10 - PHP Warning:  DOMDocument::loadXML(): xmlParseEntityRef: no name in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:52:10 - PHP Warning:  DOMDocument::loadXML(): Opening and ending tag mismatch: meta line 1 and head in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:52:10 - PHP Warning:  DOMDocument::loadXML(): Opening and ending tag mismatch: br line 1 and script in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:52:10 - PHP Warning:  DOMDocument::loadXML(): Opening and ending tag mismatch: br line 1 and body in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:52:10 - PHP Warning:  DOMDocument::loadXML(): Opening and ending tag mismatch: script line 1 and html in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:52:10 - PHP Warning:  DOMDocument::loadXML(): EndTag: '&lt;/' not found in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:52:48 - PHP Warning:  DOMDocument::loadXML(): xmlParseEntityRef: no name in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:52:48 - PHP Warning:  DOMDocument::loadXML(): xmlParseEntityRef: no name in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:52:48 - PHP Warning:  DOMDocument::loadXML(): xmlParseEntityRef: no name in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:52:48 - PHP Warning:  DOMDocument::loadXML(): xmlParseEntityRef: no name in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:52:48 - PHP Warning:  DOMDocument::loadXML(): Opening and ending tag mismatch: meta line 1 and head in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:52:48 - PHP Warning:  DOMDocument::loadXML(): Opening and ending tag mismatch: br line 1 and script in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:52:48 - PHP Warning:  DOMDocument::loadXML(): Opening and ending tag mismatch: br line 1 and body in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:52:48 - PHP Warning:  DOMDocument::loadXML(): Opening and ending tag mismatch: script line 1 and html in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
2022-02-28 11:52:48 - PHP Warning:  DOMDocument::loadXML(): EndTag: '&lt;/' not found in Entity, line: 1 in C:\OpenServer\domains\sm.localhost\admin\controller\extension\currency\cbr.php on line 97
